"Issue ID","Issue Type","Summary","Epic Name","Epic Link","Parent ID","Description","Story Points","Priority","MoSCoW","Components","Labels"
"STORY-ANALYTICS-KPIS","Story","Admin dashboard KPIs","","EPIC-ANALYTICS","","As an admin, I want a dashboard with key metrics so that I can monitor performance.\nAcceptance: fields status distribution, tasks by status, recent activity.","8","Medium","Should","Frontend;Backend","area:analytics"
"SUB-ANALYTICS-FE","Sub-task","FE: charts","","","STORY-ANALYTICS-KPIS","Recharts components for KPIs; responsive layout.","3","Medium","Should","Frontend","area:analytics,fe"
"SUB-ANALYTICS-BE","Sub-task","BE: metrics endpoints","","","STORY-ANALYTICS-KPIS","Aggregate metrics for farm; cache where appropriate.","3","Medium","Should","Backend","area:analytics,be"

"STORY-WEATHER-CARD","Story","Weather by location","","EPIC-WEATHER","","As an admin, I want weather insights by location so that I can plan tasks.\nAcceptance: location from farm; daily/weekly; graceful fallback.","5","Low","Could","Frontend;Backend","area:weather"
"SUB-WEATHER-FE","Sub-task","FE: weather widget","","","STORY-WEATHER-CARD","Weather card with forecast; loading and error states.","2","Low","Could","Frontend","area:weather,fe"
"SUB-WEATHER-BE","Sub-task","BE: weather proxy","","","STORY-WEATHER-CARD","Server-side proxy to weather API; env-managed key; caching.","2","Low","Could","Backend","area:weather,be"

"STORY-ADMIN-MANAGE-FARMS","Story","Platform admin manages farms","","EPIC-ADMIN","","As a platform admin, I want to manage farms so that I control access.\nAcceptance: list farms; view farm details; create/delete farm; user visibility.","8","Medium","Should","Frontend;Backend","area:platform-admin,role:platform_admin"
"SUB-ADMIN-FE","Sub-task","FE: admin pages","","","STORY-ADMIN-MANAGE-FARMS","Admin dashboard and farms list/detail UI.","3","Medium","Should","Frontend","area:platform-admin,fe"
"SUB-ADMIN-BE","Sub-task","BE: admin endpoints","","","STORY-ADMIN-MANAGE-FARMS","Routes for listing/creating/deleting farms; RBAC scoping across farms.","3","Medium","Should","Backend","area:platform-admin,be"

"STORY-DEVOPS-CICD","Story","CI/CD pipeline","","EPIC-DEVOPS","","As a developer, I want CI/CD so that changes ship safely.\nAcceptance: PR checks (lint, typecheck, tests, build); main deploy.","5","High","Must","DevOps","area:devops"
"SUB-DEVOPS-CI","Sub-task","Set up CI workflows","","","STORY-DEVOPS-CICD","GitHub Actions for FE and BE; cache deps; artifacts.","2","High","Must","DevOps","area:devops,ci"
"SUB-DEVOPS-CD","Sub-task","Set up deployment","","","STORY-DEVOPS-CICD","Staging deploy scripts; env management; secrets.","2","High","Must","DevOps","area:devops,cd"

"STORY-SEC-RBAC","Story","RBAC backend enforcement","","EPIC-DEVOPS","","As a developer, I want role-based backend enforcement so that data is secure.\nAcceptance: JWT middleware; role guards; farm scoping; platform_admin cross-farm reads.","8","High","Must","Backend;Security","area:security,rbac"
"SUB-SEC-MW","Sub-task","Auth middleware","","","STORY-SEC-RBAC","JWT verify, extract user, error handling; secure cookies.","3","High","Must","Backend;Security","area:security,be"
"SUB-SEC-GUARDS","Sub-task","Role guards","","","STORY-SEC-RBAC","Per-route guards for admin/worker/platform_admin; tests.","3","High","Must","Backend;Security","area:security,rbac"

"STORY-QA-BASE","Story","Testing baselines","","EPIC-QA","","As a team, I want tests so that we catch regressions.\nAcceptance: unit/integration/e2e in place; coverage reports in CI.","8","High","Must","QA;Frontend;Backend","area:qa"
"SUB-QA-FE","Sub-task","FE unit/component tests","","","STORY-QA-BASE","Set up Vitest/RTL or Jest; sample tests for hooks and components.","3","High","Must","QA;Frontend","area:qa,fe"
"SUB-QA-BE","Sub-task","BE unit/integration tests","","","STORY-QA-BASE","Set up Jest + supertest; sample route/service tests.","3","High","Must","QA;Backend","area:qa,be"
"SUB-QA-E2E","Sub-task","E2E flow tests","","","STORY-QA-BASE","Playwright tests: login → create field → assign task → complete task.","2","High","Must","QA","area:qa,e2e"

"STORY-DOCS-BASE","Story","Documentation baseline","","EPIC-DOCS","","As a team, I want comprehensive docs so that onboarding is fast.\nAcceptance: runbooks, API docs, ERD, ADRs, user guides, contribution guide.","5","High","Must","Documentation","area:docs"
"SUB-DOCS-READMES","Sub-task","READMEs and runbooks","","","STORY-DOCS-BASE","Root/frontend/backend READMEs; run/start; env setup.","2","High","Must","Documentation","area:docs,runbooks"
"SUB-DOCS-API","Sub-task","API documentation","","","STORY-DOCS-BASE","OpenAPI draft for auth, fields, tasks, workers; example payloads.","2","High","Must","Documentation","area:docs,api"
"SUB-DOCS-ARCH","Sub-task","Architecture docs","","","STORY-DOCS-BASE","ERD, sequence diagrams, ADR for field history approach.","1","High","Must","Documentation","area:docs,architecture"}
